"","unid","working","volunteer","leadershiprole","peoplelive","peoplelive_15plus","numchildren","numearnincome","anygrant","anyhhincome","givemoney_yes","cft_score","com_score","grit_score","num_score","opt_score","age","gender_male"
"43105",91705,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,5,NA,NA,20,0
"43106",42840,FALSE,0,0,6,NA,0,1,1,1,0,7,8,0,5,10,24,0
"43107",69949,FALSE,0,1,1,NA,0,1,0,1,0,3,5,3,NA,2,23,0
"43108",96749,FALSE,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,21,1
"43109",70381,FALSE,0,1,5,1,0,NA,0,1,1,NA,NA,NA,NA,NA,23,1
"43110",21763,FALSE,0,0,5,NA,0,2,1,1,0,3,NA,1,NA,3,26,1
"43111",29235,FALSE,0,0,1,NA,1,1,0,1,0,6,5,6,2,7,25,0
"43112",32045,FALSE,0,0,4,NA,0,2,0,1,0,6,5,5,3,9,25,0
"43113",67206,FALSE,1,0,2,NA,1,1,0,1,1,4,NA,0,NA,12,23,0
"43114",44410,FALSE,1,0,8,NA,0,1,1,1,1,5,NA,8,NA,5,24,0
"43115",13130,FALSE,1,1,2,NA,2,2,1,1,0,6,6,8,5,-3,27,0
"43116",57573,FALSE,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,25,0
"43117",36224,FALSE,1,0,0,NA,0,NA,0,0,NA,8,NA,8,NA,2,25,0
"43118",74249,FALSE,1,0,4,NA,0,1,0,1,1,7,4,8,4,7,21,1
"43119",3355,FALSE,0,0,4,0,4,NA,1,0,0,6,NA,2,NA,2,32,0
"43120",77942,FALSE,0,1,5,3,0,NA,1,1,0,NA,NA,NA,NA,NA,22,1
"43121",41489,FALSE,0,1,2,NA,0,0,1,0,1,5,9,6,NA,6,24,1
"43122",1238,FALSE,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,34,0
"43123",101333,FALSE,1,0,7,6,0,NA,1,1,1,8,5,7,2,7,18,1
"43124",53142,FALSE,1,1,1,NA,1,1,0,1,1,6,7,2,5,6,23,1
"43125",71152,FALSE,0,0,6,NA,0,1,1,1,1,7,7,6,NA,NA,21,0
"43126",48966,FALSE,1,0,4,NA,1,1,0,1,1,6,8,5,3,3,23,0
"43127",53807,FALSE,0,1,2,NA,1,1,1,1,1,4,3,8,NA,6,24,0
"43128",88227,TRUE,0,0,5,NA,0,0,1,0,1,6,NA,4,NA,7,20,1
"43129",32669,FALSE,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,27,0
"43130",44679,TRUE,1,1,1,NA,1,1,1,1,1,6,NA,8,NA,10,24,0
"43131",29091,FALSE,0,0,2,NA,1,1,0,1,0,4,5,8,NA,6,27,0
"43132",97909,FALSE,0,0,4,NA,0,1,1,1,0,5,6,1,NA,8,19,0
"43133",46817,FALSE,1,1,14,5,1,NA,1,1,0,NA,NA,NA,NA,NA,25,0
"43134",87987,FALSE,0,0,4,3,0,NA,1,1,0,NA,NA,NA,NA,NA,21,0
"43135",78286,FALSE,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,23,1
"43136",73348,FALSE,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,23,0
"43137",68368,FALSE,1,1,9,4,1,NA,1,1,0,NA,NA,NA,NA,NA,23,0
"43138",92190,FALSE,1,1,0,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,21,1
"43139",94211,FALSE,0,1,1,NA,0,0,1,0,0,9,9,2,7,3,19,0
"43140",41044,FALSE,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,26,0
